student_id,timestamp,action,quiz_id,question_id
2025001,2025-10-03 10:00:05,start_quiz,Q101,
2025001,2025-10-03 10:01:10,answer_question,Q101,1
2025001,2025-10-03 10:02:30,answer_question,Q101,2
2025001,2025-10-03 10:04:00,answer_question,Q101,3
2025001,2025-10-03 10:15:20,submit_quiz,Q101,
2025002,2025-10-03 10:00:10,start_quiz,Q101,
2025002,2025-10-03 10:00:15,answer_question,Q101,1
2025002,2025-10-03 10:00:20,answer_question,Q101,2
2025002,2025-10-03 10:00:25,answer_question,Q101,3
2025002,2025-10-03 10:00:35,submit_quiz,Q101,
2025003,2025-10-03 10:00:12,start_quiz,Q101,
2025003,2025-10-03 10:05:22,answer_question,Q101,1
2025003,2025-10-03 10:02:45,answer_question,Q101,3
2025003,2025-10-03 10:08:50,answer_question,Q101,2
2025003,2025-10-03 10:18:15,submit_quiz,Q101,
